,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
575,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Christmas Songs By Sinatra,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,1948,album,[],155600,2,7inXu0Eaeg02VsM8kHNvzM,1,2,0.881,0.603,0.321,0.0,0.34,-11.489,0.0599,0.844,143.104,4
576,No Vacancy,No Vacancy,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2017-04-28,single,[],223189,1,6XOYVSmNDjKUNMXooU4s4z,1,5,0.0571,0.71,0.73,0.0,0.139,-4.001,0.0607,0.48,99.986,4
577,Love Galore (feat. Travis Scott),Ctrl,SZA,7tYKF4w9nC0nq9CsPZTHyP,2017-06-09,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",275080,78,0q75NwOoFiARAVp4EXU4Bs,1,0,0.111,0.795,0.594,0.0,0.162,-6.2,0.0747,0.409,135.002,4
578,"Particula (feat. DJ Maphorisa, Nasty C, Ice Prince, Patoranking & Jidenna)",Know No Better,Major Lazer,738wLrAtLtCtFOLvQBXOXp,2017-06-02,single,[],204654,0,7CBuqmz0X4F6hNuQXasAHA,1,8,0.0265,0.678,0.735,2.19e-05,0.235,-4.725,0.0488,0.386,100.001,4
579,Issues,Nervous System,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,2017-07-28,album,"['CA', 'MX', 'US']",176320,70,7vu0JkJh0ldukEYbTVcqd0,1,8,0.401,0.728,0.415,0.0,0.0616,-6.852,0.0639,0.455,114.145,4
580,Motýľ,Agónia & Extáza,Saul,6xg3PSVEwviVyfnx3mtsPL,2019-06-26,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",244342,38,6IIlma4UxPlykJ2kxJUMWo,0,0,0.366,0.214,0.837,0.0,0.216,-4.994,0.115,0.217,75.961,4
581,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,2020-06-11,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",171374,96,1xQ6trAsedVPCdbtDAmk0c,0,0,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,0.761,150.076,4
582,Nerozumíš Mi,FATAMORGANA,Nik Tendo,6gvVFtkTV4OCyQSCzGgU1h,2019-11-01,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",121280,36,51T1OYFBMvm3MeO6J6kPjK,0,6,0.351,0.713,0.59,0.0,0.147,-7.175,0.274,0.425,145.947,4
583,Odpočívej v Pokoji,"Dobrá Duše, Srdce ze Zlata",Yzomandias,721o1Z0J6jQupyzLt9RnEk,2019-12-06,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",217322,33,69iwQvyXQASsyxT7BvF2gf,0,6,0.195,0.823,0.463,1.46e-06,0.368,-10.065,0.176,0.381,126.938,4
584,I'll Wait,Golden Hour,Kygo,23fqKkggKUBHNkbKtXEls4,2020-05-29,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",215360,67,1tuXOJYN6CkgubpifHEm96,1,1,0.15,0.611,0.649,1.53e-05,0.105,-6.968,0.058,0.353,123.002,4
585,Fresh Eyes,Fresh Eyes,Andy Grammer,2oX42qP5ineK3hrhBECLmj,2016-01-01,single,[],198001,0,4nMlau89VAjmV7agkl7OY3,1,0,0.562,0.822,0.544,2.4e-05,0.144,-6.797,0.0332,0.861,122.047,4
586,There for You,There for You,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,2017-05-26,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",221904,72,6jA8HL9i4QGzsj6fjoxp8Y,0,6,0.124,0.611,0.644,0.0,0.124,-7.607,0.0553,0.13,105.969,4
587,Perfect Strangers,Jonas Blue: Electronic Nature - The Mix 2017,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2017-07-14,compilation,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",195313,45,5bZtRlMBU76vHuDOb1GM5u,1,1,0.35,0.739,0.833,0.0,0.266,-5.012,0.0463,0.699,117.99,4
588,"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,2016-10-28,single,[],175517,1,5hYTyyh2odQKphUbMqc5gN,1,9,0.157,0.314,0.555,0.000108,0.067,-9.601,0.37,0.159,179.666,4
589,Accelerate (feat. Ty Dolla $ign & 2 Chainz),Accelerate (feat. Ty Dolla $ign & 2 Chainz),Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,2018-05-03,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",243061,41,5eQ9IwVa9EodrmIItRQpaA,0,0,0.371,0.799,0.629,2.01e-06,0.15,-5.638,0.14,0.293,128.041,4
590,Love Na Ruce,Diamant,Lvcas Dope,41Vy9bg5eOy5RWPiTE8pBI,2018-10-17,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",185531,24,09mZak24YVGYqmnS1kO2VO,0,11,0.173,0.805,0.61,0.0,0.0816,-5.064,0.142,0.8,141.027,4
591,More Than You Know - Acoustic,More Than You Know (Acoustic),Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,2017-09-08,single,[],183950,0,24XOlemQJORg0nBJAHC24p,1,8,0.707,0.51,0.511,0.0,0.0875,-4.555,0.0282,0.377,115.044,4
592,Walk On Water (feat. Beyoncé),Revival,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2017-12-15,album,[],303640,1,5PIBgH1cUFwu5IiUk9tnN9,0,9,0.796,0.468,0.444,0.0,0.619,-10.217,0.291,0.637,76.019,3
