,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
20,Flotando (Remix),Flotando (Remix),Gianluca,7q9P9jadKe86eEavevbEvK,2020-01-31,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",176346,48,7paqbTLYVmmUQoH0up0VUM,1,2,0.323,0.742,0.621,0.0113,0.088,-5.679,0.0998,0.278,194.051,4
21,Hey Brother,True,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013-01-01,album,[],255093,1,3zKST4nk4QJE77oLjUZ0Ng,0,7,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,0.0436,0.458,125.014,4
22,Andas En Mi Cabeza - Remix,Andas En Mi Cabeza (Remix),Chino & Nacho,5NS0854TqZQVoRmJKSWtFZ,2016-08-19,single,[],255840,0,733ybNEEEXHYxfk8sK6MRO,1,9,0.205,0.72,0.933,0.0,0.172,-3.234,0.0904,0.581,104.099,4
23,Vibras,S.U.N.O,Pablo Chill-E,2XcZshqzPKm3iZcmt73R8D,2018-08-03,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",154991,60,3CV6tcIs0tqW3aJtu6THaM,0,9,0.811,0.755,0.634,0.0,0.0852,-5.929,0.298,0.834,173.845,4
24,Un Poco Más De Frío,Un Poco Más De Frío,Cami,3VCrybIJKH7UurbDcZbMmn,2017-08-18,single,[],210053,0,3ZGLzkuKPU2ngeicx6LqOb,0,4,0.0986,0.658,0.577,0.0,0.201,-5.499,0.0429,0.349,134.966,3
25,Si El Mundo Se Acabara,Imperio Nazza: Justin Quiles Edition,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,2016-01-22,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",222209,57,4aCk50WpvliyFaoRlOe8IM,0,3,0.257,0.64,0.758,0.0,0.82,-5.333,0.192,0.797,172.066,4
26,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,2016-05-27,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",214480,77,4tCtwWceOPWzenK2HAIJSb,1,8,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,0.593,105.017,4
27,Pa Los Gustos Los Colores,Pa Los Gustos Los Colores,Javiielo,3HH6yOn1yJNZo3RY5zEfy5,2019-08-16,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",139809,71,6Bd9rs5gv25asdPDRog3ce,1,9,0.19,0.742,0.683,0.000111,0.0947,-5.828,0.118,0.412,80.034,4
28,Azukita,Neon Future III,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,2018-11-09,album,"['AD', 'DE', 'DZ', 'FR', 'GB', 'JP', 'MA', 'MC', 'TN']",226161,45,6FeTled691bl3j2Npf7oo8,1,8,0.00175,0.715,0.942,0.000461,0.0581,-2.889,0.107,0.818,130.019,4
29,Morph,Trench,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,2018-10-05,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",258853,67,01vv2AjxgP4uUyb8waYO5Y,0,8,0.0747,0.734,0.607,0.000577,0.0968,-7.249,0.0806,0.518,90.023,4
