Position,Track Name,Artist,Streams,URL
138,Ricchi x Sempre,Sfera Ebbasta,282922,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
139,Casa Mia (feat. Luchè & Capo Plaza),Noyz Narcos,281458,https://open.spotify.com/track/6NnO2rbViEDhX6wewADukc
140,Don't Stop Me Now - 2011 Mix,Queen,279143,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
141,Youngblood,5 Seconds of Summer,278985,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
142,Somebody To Love - 2011 Mix,Queen,278168,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
143,One Kiss (with Dua Lipa),Calvin Harris,277867,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
144,Serpenti A Sonagli,Sfera Ebbasta,277060,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu
145,Solletico (feat. Tedua & The Night Skinny),Rkomi,276989,https://open.spotify.com/track/6gan8nbS78t2sUy0M9UpAX
146,Figurati noi (feat. Emma Muscat),Shade,272484,https://open.spotify.com/track/5AQ7Wuc1UGCROIifaInqdV
147,PELLE D'OCA,Vegas Jones,267388,https://open.spotify.com/track/3SjNwo6aHnvKx8yeSXxTmT
148,Let You Love Me,Rita Ora,267175,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
149,Under Pressure - Remastered,Queen,267065,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
150,Sciroppo (feat. DrefGold),Sfera Ebbasta,266294,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
151,I Like It,Cardi B,265786,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
152,Kiss and Make Up,Dua Lipa,265761,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
153,Marylin M.,Fasma,263984,https://open.spotify.com/track/6uw8FVNAFNNpdXtd0AZl6m
154,God's Plan,Drake,263877,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
155,ZEZE (feat. Travis Scott & Offset),Kodak Black,260974,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
156,Settimana Bianca,Il Pagante,259155,https://open.spotify.com/track/5BqUbKq9rCMrCkRtAiz8XA
157,Hands Up (feat. DNCE),Merk & Kremont,258012,https://open.spotify.com/track/0nlyO7lNTOYB0gjDp7NI7H
158,Giovane fuoriclasse,Capo Plaza,255804,https://open.spotify.com/track/60muwbD6E61lEYQSnEYlLc
159,Italiana,J-AX,254174,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
160,Acqua Calda E Limone (feat. Ernia),Rkomi,253891,https://open.spotify.com/track/2OIXm3ZM0pbSXQYrq9C5RN
161,Paracetamolo,Calcutta ,253297,https://open.spotify.com/track/4OQ1G3dyVx0SPUzBiWCNat
162,My Life Is Going On - Burak Yeter Remix,Burak Yeter,252483,https://open.spotify.com/track/2qzyXvxqBlOx4BUzbTzPvu
163,Non Sei Capace,Side Baby,252466,https://open.spotify.com/track/1CNNPHHL8iovZx4SnM0Lod
