Position,Track Name,Artist,Streams,URL
118,Jacuzzi,Greeicy,76308,https://open.spotify.com/track/68AFwp0MnkWketMmnfvzR8
119,Sensualidad,Bad Bunny,75700,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
120,One Kiss (with Dua Lipa),Calvin Harris,74858,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
121,New Rules,Dua Lipa,74857,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
122,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,74783,https://open.spotify.com/track/4DBnQKEkneEBbUXJVX5Kxs
123,A Ella,KAROL G,73852,https://open.spotify.com/track/1pkMzGqBBS10nDiiYrNGGJ
124,Otras Se Pierden,Morat,73658,https://open.spotify.com/track/3SvbcJH2seu1zs0PMjPS6F
125,Felices los 4,Maluma,73401,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
126,Radio Ga Ga - Live Aid,Queen,72758,https://open.spotify.com/track/0YwBZKT8JE4U5TwmYE9BV9
127,Triste,Bryant Myers,72183,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
128,Pineapple,KAROL G,71490,https://open.spotify.com/track/2RXzzOxmBlffT81fjwBSVh
129,Mayores,Becky G,71478,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
130,El Préstamo,Maluma,70944,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
131,Ponle,Rvssian,70672,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
132,Lamento Boliviano,Los Enanitos Verdes,69664,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
133,Crazy Little Thing Called Love - Remastered 2011,Queen,69661,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
134,La Incondicional,Luis Miguel,69538,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
135,Mocca,Lalo Ebratt,69531,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
136,Traicionera,Sebastian Yatra,69498,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
137,Downtown,Anitta,69360,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
138,La Mujer Perfecta,KURT,69218,https://open.spotify.com/track/0mAGeks6ns4FZWBPkjD9HR
139,Me Tiene Mal,Paulo Londra,69214,https://open.spotify.com/track/5BHiSQqlKWKoSmASzJTrVg
140,IDGAF,Dua Lipa,68909,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
141,El Farsante - Remix,Ozuna,68568,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
142,Do I Wanna Know?,Arctic Monkeys,68380,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
143,Marinero,Maluma,68316,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
144,Believer,Imagine Dragons,67235,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
145,Let Me Love You,DJ Snake,67168,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
146,We Are The Champions - Remastered 2011,Queen,66256,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
147,Casualidad,Nacho,66235,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
148,Como Mirarte,Sebastian Yatra,66133,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
149,Besos En Guerra,Morat,66007,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA
150,Creo en Ti,Reik,65671,https://open.spotify.com/track/0xXhgLXfEHnWJHVgRvFvdn
151,Me Voy,Rombai,65627,https://open.spotify.com/track/22sESxzbY1O1E19xjOTaYf
152,In My Feelings,Drake,65626,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
153,En El Muelle De San Blas,Maná,65611,https://open.spotify.com/track/0mvocLIWUnT10znvIXwHGr
154,Baby Girl (feat. Lalo Ebratt),Mario Bautista,65583,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc
155,Báilame - Remix,Nacho,65486,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
156,Devuélveme a mi chica,Hombres G,65455,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
157,Devuelveme,Ozuna,65359,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
158,Te Mando Flores,Fonseca,65354,https://open.spotify.com/track/6OpHDI8lRiqHLqmUIYUxVr
159,A Partir De Hoy,David Bisbal,64707,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
